,0
0,1518
1,1627
2,1535
3,1481
4,1416
5,1470
6,1435
7,1435
8,1429
9,1428
10,1385
11,1425
12,1471
13,1372
14,1474
15,1551
16,2315
17,2497
18,2032
19,2040
20,1513
21,1524
22,1523
23,1562
24,1683
25,1626
26,1532
27,1510
28,1614
29,1575
30,121
31,111
32,116
33,120
34,114
35,116
36,431
37,179
38,211
39,108
40,201
41,104
42,212
43,103
44,115
45,198
46,104
47,98
48,110
49,96
50,106
51,111
52,107
53,118
54,135
55,126
56,129
57,147
58,115
59,114
60,101
61,103
62,111
63,113
64,106
65,116
66,109
67,138
68,174
