,0
0,3353
1,1491
2,207
3,131
4,157
5,154
6,200
7,281
8,213
9,172
10,211
11,285
12,260
13,319
14,300
15,367
16,400
17,367
18,465
19,474
20,487
21,463
22,613
23,707
24,599
25,602
26,685
27,345
28,727
29,594
30,621
31,665
32,594
33,654
34,667
35,649
36,725
37,660
38,695
39,673
40,649
41,638
42,689
43,667
44,647
45,673
46,675
47,649
48,696
49,646
50,646
51,648
52,684
53,400
54,642
55,558
56,734
57,540
58,707
59,638
60,634
61,610
62,574
63,498
64,636
65,606
66,610
67,496
68,586
69,649
70,570
71,621
72,621
73,669
74,519
75,679
76,872
77,585
78,830
79,858
80,834
81,861
82,425
83,616
84,652
85,394
86,690
87,672
88,655
89,483
90,451
91,659
92,673
93,477
94,625
95,640
96,660
97,577
98,570
99,586
100,612
101,564
102,589
103,597
104,573
105,664
106,589
107,545
108,623
109,588
110,660
111,547
112,617
113,663
114,592
115,614
116,636
117,3379
118,1403
119,1825
120,1664
121,2227
